"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"prevalence_ge_10pct","Prevalence >=10% samples","002FhLUSw_3",0.00192932575142162,0.998070674248578,"S002","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","002FhLUSw_4",0.000646348133048259,0.999353651866952,"S002","Forehead","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","002FhRUSw_1",0.00584178498985802,0.994158215010142,"S002","Forehead","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","002FhRUSw_2",0.0114272478091341,0.988572752190866,"S002","Forehead","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","003AcCUSw",0.214174518639902,0.785825481360098,"S003","Antecubital","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","003AcLUSw_3",0.168992511912866,0.831007488087134,"S003","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","003AcLUSw_4",0.241277350680071,0.758722649319929,"S003","Antecubital","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","003AcRUSw_1",0.201454990481371,0.798545009518629,"S003","Antecubital","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","003AcRUSw_2",0.125847176079734,0.874152823920266,"S003","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","003FhCUSw",0.051511758118701,0.948488241881299,"S003","Forehead","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","003FhLUSw_3",0,1,"S003","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","003FhLUSw_4",0.0519924098671727,0.948007590132827,"S003","Forehead","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","003FhRUSw_1",0.00254044658376784,0.997459553416232,"S003","Forehead","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","003FhRUSw_2",0.00132640654360563,0.998673593456394,"S003","Forehead","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","004AcCUSw",0.130021699607061,0.869978300392939,"S004","Antecubital","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","004AcLUSw_3",0.240151106314085,0.759848893685915,"S004","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","004AcLUSw_4",0.311137610302886,0.688862389697114,"S004","Antecubital","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","004AcRUSw_1",0.354925847457627,0.645074152542373,"S004","Antecubital","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","004AcRUSw_2",0.370303698972185,0.629696301027815,"S004","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","004FhCUSw",0.0196531791907514,0.980346820809249,"S004","Forehead","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","004FhLUSw_3",0.0595385053651126,0.940461494634887,"S004","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","004FhLUSw_4",0.100252574315135,0.899747425684865,"S004","Forehead","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","004FhRUSw_1",0.152869131322295,0.847130868677705,"S004","Forehead","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","004FhRUSw_2",0.128077455048409,0.871922544951591,"S004","Forehead","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","005AcCUSw",0.0879183210436755,0.912081678956325,"S005","Antecubital","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","005AcLUSw_3",0.0435595286468915,0.956440471353109,"S005","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","005AcLUSw_4",0.0629359543436906,0.937064045656309,"S005","Antecubital","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","005AcRUSw_1",0.127086152458277,0.872913847541723,"S005","Antecubital","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","005AcRUSw_2",0.139891195736649,0.860108804263351,"S005","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","005FhCUSw",0.388679245283019,0.611320754716981,"S005","Forehead","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","005FhLUSw_3",0.113162393162393,0.886837606837607,"S005","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","005FhLUSw_4",0.0170773152081563,0.982922684791844,"S005","Forehead","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","005FhRUSw_1",0.0723031798500862,0.927696820149914,"S005","Forehead","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","005FhRUSw_2",0.103212488711134,0.896787511288866,"S005","Forehead","Puritan_gel","Type 2"
