"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"005AcCUSw",26,2.13563249118599,"S005","Antecubital","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"005AcLUSw_3",47,2.63634517557823,"S005","Antecubital","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"005AcLUSw_4",52,2.38984438274798,"S005","Antecubital","Omni","Type 4","remove_count_le_10","Remove count <=10"
"005AcRUSw_1",32,1.85250272548512,"S005","Antecubital","Copan","Type 1","remove_count_le_10","Remove count <=10"
"005AcRUSw_2",21,1.95402493869891,"S005","Antecubital","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"005FhCUSw",95,3.05616983158968,"S005","Forehead","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"005FhLUSw_3",78,2.41066920109558,"S005","Forehead","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"005FhLUSw_4",24,1.0199406866131,"S005","Forehead","Omni","Type 4","remove_count_le_10","Remove count <=10"
"005FhRUSw_1",64,1.49481264109998,"S005","Forehead","Copan","Type 1","remove_count_le_10","Remove count <=10"
"005FhRUSw_2",84,2.31344014008664,"S005","Forehead","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"001AcCUSw",81,2.5172041992756,"S001","Antecubital","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"001AcLUSw_3",85,2.64590013316247,"S001","Antecubital","Puritan_buffer","Type 3","prevalence_ge_2","Prevalence >=2 samples"
"001AcLUSw_4",88,2.49551248456204,"S001","Antecubital","Omni","Type 4","prevalence_ge_2","Prevalence >=2 samples"
"001AcRUSw_1",61,1.56622696454446,"S001","Antecubital","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"001AcRUSw_2",60,2.5521274023777,"S001","Antecubital","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
"001FhCUSw",13,0.136228356006952,"S001","Forehead","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"001FhLUSw_3",27,0.543054970062199,"S001","Forehead","Puritan_buffer","Type 3","prevalence_ge_2","Prevalence >=2 samples"
"001FhLUSw_4",22,0.630152489157006,"S001","Forehead","Omni","Type 4","prevalence_ge_2","Prevalence >=2 samples"
"001FhRUSw_1",28,0.290348913847175,"S001","Forehead","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"001FhRUSw_2",25,0.458977173753864,"S001","Forehead","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
"002AcCUSw",35,2.04253105190324,"S002","Antecubital","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"002AcLUSw_3",90,2.12471072306836,"S002","Antecubital","Puritan_buffer","Type 3","prevalence_ge_2","Prevalence >=2 samples"
"002AcRUSw_1",56,1.27656897986529,"S002","Antecubital","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"002AcRUSw_2",75,1.76759968106982,"S002","Antecubital","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
"002FhCUSw",9,0.0623356020548555,"S002","Forehead","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"002FhLUSw_3",10,0.112400019815001,"S002","Forehead","Puritan_buffer","Type 3","prevalence_ge_2","Prevalence >=2 samples"
"002FhLUSw_4",10,0.0860193532707489,"S002","Forehead","Omni","Type 4","prevalence_ge_2","Prevalence >=2 samples"
"002FhRUSw_1",22,0.385793079274686,"S002","Forehead","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"002FhRUSw_2",21,0.506148722717654,"S002","Forehead","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
"003AcCUSw",87,3.12338382599094,"S003","Antecubital","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"003AcLUSw_4",91,3.44289848433093,"S003","Antecubital","Omni","Type 4","prevalence_ge_2","Prevalence >=2 samples"
"003AcRUSw_1",106,3.52688820744836,"S003","Antecubital","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"003AcRUSw_2",12,2.0791633224276,"S003","Antecubital","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
